bike_station_location,name,main_category,address,distance_away
"45.55645437,-122.6603794",North By Northeast Liquor,Liquor Store,4375 N Williams Ave,544
"45.55645437,-122.6603794",JinJu Patisserie,Bakery,4063 N Williams Ave,641
"45.55645437,-122.6603794",Cedo's Falafel and Gyros,Falafel Restaurant,3901 NE M L King Blvd,629
"45.55645437,-122.6603794",Donnie Vegas,Night Club,1203 NE Alberta St,612
"45.52440674,-122.6497686",Voodoo Doughnut Too,Bagel Shop,1501 NE Davis St,45
"45.52440674,-122.6497686",Sandy Hut,Night Club,1430 NE Sandy Blvd,94
"45.52440674,-122.6497686",Fire on the Mountain,BBQ Joint,1708 E Burnside St,210
"45.52440674,-122.6497686",EastBurn Public House,Whisky Bar,1800 E Burnside St,259
"45.52440674,-122.6497686",Noble Rot,Wine Bar,1111 E Burnside St,388
"45.52440674,-122.6497686",Hey Love,Cocktail Bar,920 E Burnside St,531
"45.52440674,-122.6497686",Luce,Italian Restaurant,2140 E Burnside St,510
"45.52440674,-122.6497686",Heart Coffee Roasters,Burger Joint,2211 E Burnside St,530
"45.52440674,-122.6497686",Normandie,Cocktail Bar,1005 SE Ankeny St,523
"45.52440674,-122.6497686",Meat for Cats and Dogs,Pet Supplies Store,2244 E Burnside St,578
"45.52297292,-122.6434118",Heart Coffee Roasters,Burger Joint,2211 E Burnside St,13
"45.52297292,-122.6434118",Luce,Italian Restaurant,2140 E Burnside St,23
"45.52297292,-122.6434118",Meat for Cats and Dogs,Pet Supplies Store,2244 E Burnside St,58
"45.52297292,-122.6434118",Screen Door Eastside,American Restaurant,2337 E Burnside St,140
"45.52297292,-122.6434118",Tusk,Middle Eastern Restaurant,2448 E Burnside St,225
"45.52297292,-122.6434118",Ate-Oh-Ate,Hawaiian Restaurant,2454 E Burnside St,244
"45.52297292,-122.6434118",EastBurn Public House,Whisky Bar,1800 E Burnside St,309
"45.52297292,-122.6434118",Fire on the Mountain,BBQ Joint,1708 E Burnside St,383
"45.52297292,-122.6434118",Han Oak,Korean Restaurant,511 NE 24th Ave,440
"45.52297292,-122.6434118",Pairings Portland,Liquor Store,455 NE 24th Ave,408
"45.50624163,-122.6633379",Oregon Museum of Science and Industry,Science Museum,1945 SE Water Ave,330
"45.50624163,-122.6633379",Ground Breaker Brewing,Bar,2030 SE 7th Ave,426
"45.50624163,-122.6633379",Turbine Hall At OMSI,Science Museum,1626 SE Water Ave,341
"45.50624163,-122.6633379",Palomar,Cocktail Bar,959 SE Division St,547
"45.50624163,-122.6633379",Nossa Familia,Café,1633 SE 3rd Ave,563
"45.50624163,-122.6633379",Deadshot,Cocktail Bar,2133 SE 11th Ave,672
"45.50624163,-122.6633379",Pine State Biscuits,Breakfast Spot,1100 SE Division St,702
"45.50624163,-122.6633379",Books With Pictures,Bookstore,1401 SE Division St,714
"45.50624163,-122.6633379",Baerlic Brewing Co.,Bar,2235 SE 11th Ave,669
"45.50624163,-122.6633379",The steep and thorny way to heaven,Performing Arts Venue,210 SE Madison St,702
"45.51202353,-122.6363119",Coava Coffee Roasters,Coffee Shop,2631 SE Hawthorne Blvd,174
"45.51202353,-122.6363119",El Cubo De Cuba,Cuban Restaurant,3106 SE Hawthorne Blvd,211
"45.51202353,-122.6363119",Tov,Coffee Shop,3207 SE Hawthorne Blvd,294
"45.51202353,-122.6363119",Excalibur Comics,Bookstore,2444 SE Hawthorne Blvd,338
"45.51202353,-122.6363119",Sewallcrest Park,Playground,SE 31ST Ave,370
"45.51202353,-122.6363119",House of Vintage,Antique Store,3315 SE Hawthorne Blvd,435
"45.51202353,-122.6363119",Farmhouse Kitchen Thai Cuisine,Thai Restaurant,3354 SE Hawthorne Blvd,512
"45.51202353,-122.6363119",Grand Central,Bakery,2230 SE Hawthorne Blvd,489
"45.51202353,-122.6363119",The Nest Lounge,Cocktail Bar,2715 SE Belmont St,508
"45.51202353,-122.6363119",Bare Bones Cafe & Bar,Dining and Drinking,2908 SE Belmont St,478
"45.55916922,-122.6514316",Bamboo Sushi,Sushi Restaurant,1409 NE Alberta St,8
"45.55916922,-122.6514316",Tin Shed Garden Cafe,American Restaurant,1438 NE Alberta St,38
"45.55916922,-122.6514316",Case Study Coffee,Coffee Shop,1422 NE Alberta St,27
"45.55916922,-122.6514316",Alberta Cooperative Gr,Organic Grocery,1500 NE Alberta St,153
"45.55916922,-122.6514316",Donnie Vegas,Night Club,1203 NE Alberta St,162
"45.55916922,-122.6514316",Radio Room,Bar,1101 NE Alberta St,226
"45.55916922,-122.6514316",The Bye and Bye,Speakeasy,1011 NE Alberta St,296
"45.55916922,-122.6514316",Gumba,Pizzeria,1477 NE Alberta St,330
"45.55916922,-122.6514316",Les Caves: A Winery Bar,Wine Bar,1719 NE Alberta St,338
"45.55916922,-122.6514316",Petite Provence,Bakery,1824 NE Alberta St,406
"45.55913676,-122.6554307",The Bye and Bye,Speakeasy,1011 NE Alberta St,18
"45.55913676,-122.6554307",Radio Room,Bar,1101 NE Alberta St,85
"45.55913676,-122.6554307",Donnie Vegas,Night Club,1203 NE Alberta St,148
"45.55913676,-122.6554307",Bamboo Sushi,Sushi Restaurant,1409 NE Alberta St,319
"45.55913676,-122.6554307",Tin Shed Garden Cafe,American Restaurant,1438 NE Alberta St,347
"45.55913676,-122.6554307",Case Study Coffee,Coffee Shop,1422 NE Alberta St,336
"45.55913676,-122.6554307",Portland Farmers Market,Farmers Market,N McClellan St,354
"45.55913676,-122.6554307",Alberta Cooperative Gr,Organic Grocery,1500 NE Alberta St,464
"45.55913676,-122.6554307",Curious Comedy Theater,Comedy Club,5225 NE M L King Blvd,532
"45.55913676,-122.6554307",Grain & Gristle,Bar,1473 NE Prescott St,576
"45.52358836,-122.6619177",Crema,Café,390 NE Couch St,12
"45.52358836,-122.6619177",Pacific Standard,Cocktail Bar,100 NE M L King Blvd,36
"45.52358836,-122.6619177",Delicious Donuts,Bagel Shop,12 SE Grand Ave,165
"45.52358836,-122.6619177",Nong’s Khao Man Gai,Thai Restaurant,609 SE Ankeny St,243
"45.52358836,-122.6619177",Sizzle Pie,Pizzeria,624 E Burnside St,238
"45.52358836,-122.6619177",Dimo's Apizza,Pizzeria,701 E Burnside St,271
"45.52358836,-122.6619177",Kann,Caribbean Restaurant,548 SE Ash St,290
"45.52358836,-122.6619177",Canard,Cocktail Bar,734 E Burnside St,321
"45.52358836,-122.6619177",Dutch Bros Coffee,"Cafe, Coffee, and Tea House",430 NE Lloyd Blvd,318
"45.52358836,-122.6619177",Woodcrafters,Hardware Store,212 NE 6th Ave,236
"45.52507854,-122.6775563",Ground Kontrol Classic Arcade,Amusement Park,511 NW Couch St,177
"45.52507854,-122.6775563",Teardrop Lounge,Cocktail Bar,1015 NW Everett St,313
"45.52507854,-122.6775563",Pho Van Fresh,Vietnamese Restaurant,1012 NW Glisan St,331
"45.52507854,-122.6775563",Lan Su Chinese Garden,Chinese Restaurant,239 NW Everett St,330
"45.52507854,-122.6775563",Deschutes Brewery Portland Public House,Bar,210 NW 11th Ave,349
"45.52507854,-122.6775563",Powell's Books Rose Room,Bookstore,1005 W Burnside St,352
"45.52507854,-122.6775563",Powell's City of Books,Bookstore,1005 W Burnside St,364
"45.52507854,-122.6775563",Powell's Books,Bookstore,1005 W Burnside St,367
"45.52507854,-122.6775563",Powell's Books Orange Room,Bookstore,1005 W Burnside St,377
"45.52507854,-122.6775563",Wailua Shave Ice,Dessert Shop,1022 W Burnside St,433
"45.5048393,-122.6296306",Ava Gene's,Italian Restaurant,3377 SE Division St,14
"45.5048393,-122.6296306",Lauretta Jean's,Bakery,3402 SE Division St,18
"45.5048393,-122.6296306",Little Beast Brewing Beer Garden,Beer Bar,3412 SE Division St,43
"45.5048393,-122.6296306",Salt & Straw,Ice Cream Parlor,3345 SE Division St,65
"45.5048393,-122.6296306",Cibo,Pizzeria,3539 SE Division St,140
"45.5048393,-122.6296306",Division Wines,Liquor Store,3564 SE Division St,198
"45.5048393,-122.6296306",Oma's Hideaway,Dessert Shop,3131 SE Division St,250
"45.5048393,-122.6296306",The Richmond Bar,Cocktail Bar,3203 SE Division St,223
"45.5048393,-122.6296306",Imperial Bottle Shop & Taproom,Beer Store,3090 SE Division St,321
"45.5048393,-122.6296306",PDX Sliders,Burger Joint,3111 SE Division St,297
"45.50468892,-122.6345551",Bollywood Theater,Indian Restaurant,3010 SE Division St,12
"45.50468892,-122.6345551",Imperial Bottle Shop & Taproom,Beer Store,3090 SE Division St,62
"45.50468892,-122.6345551",Oma's Hideaway,Dessert Shop,3131 SE Division St,135
"45.50468892,-122.6345551",PDX Sliders,Burger Joint,3111 SE Division St,87
"45.50468892,-122.6345551",Mestizo,Bar,2910 SE Division St,76
"45.50468892,-122.6345551",The Richmond Bar,Cocktail Bar,3203 SE Division St,161
"45.50468892,-122.6345551",Salt & Straw,Ice Cream Parlor,3345 SE Division St,318
"45.50468892,-122.6345551",Piccolo Park,Playground,SE 27TH Ave,296
"45.50468892,-122.6345551",Ava Gene's,Italian Restaurant,3377 SE Division St,371
"45.50468892,-122.6345551",Little T American Baker,Bakery,2600 SE Division St,382
"45.51544427,-122.6846749",Portland Art Museum,Art Museum,1219 SW Park Ave,121
"45.51544427,-122.6846749",Behind The Museum Cafe,Coffee Shop,1229 SW 10th Ave,123
"45.51544427,-122.6846749",Coava Coffee Roasters,Coffee Shop,1171 SW Jefferson St,156
"45.51544427,-122.6846749",Higgins Restaurant & Bar,French Restaurant,1239 SW Broadway,202
"45.51544427,-122.6846749",Park Avenue Cafe,Coffee Shop,1525 SW Park Ave,178
"45.51544427,-122.6846749",Love Belizean,Caribbean Restaurant,1503 SW Broadway,208
"45.51544427,-122.6846749",Portland Farmers Market at Shemanski Park,Farmers Market,850 SW Main St,273
"45.51544427,-122.6846749",Caffe Umbria,Café,710 SW Madison St,262
"45.51544427,-122.6846749",Arlene Schnitzer Concert Hall,Concert Hall,1037 SW Broadway,309
"45.51544427,-122.6846749",Portland Center for the Performing Arts,Comedy Club,1111 SW Broadway,309
"45.51507401,-122.6870298",Coava Coffee Roasters,Coffee Shop,1171 SW Jefferson St,183
"45.51507401,-122.6870298",Behind The Museum Cafe,Coffee Shop,1229 SW 10th Ave,273
"45.51507401,-122.6870298",Portland Art Museum,Art Museum,1219 SW Park Ave,296
"45.51507401,-122.6870298",Park Avenue Cafe,Coffee Shop,1525 SW Park Ave,263
"45.51507401,-122.6870298",Portland Farmer's Market at PSU,Farmers Market,Southwest Montgomery Street,354
"45.51507401,-122.6870298",Love Belizean,Caribbean Restaurant,1503 SW Broadway,331
"45.51507401,-122.6870298",Higgins Restaurant & Bar,French Restaurant,1239 SW Broadway,388
"45.51507401,-122.6870298",Portland Farmers Market at Shemanski Park,Farmers Market,850 SW Main St,445
"45.51507401,-122.6870298",Arlene Schnitzer Concert Hall,Concert Hall,1037 SW Broadway,487
"45.51507401,-122.6870298",Caffe Umbria,Café,710 SW Madison St,450
"45.50971347,-122.6777159",Murata Restaurant,Sushi Restaurant,200 SW Market St,262
"45.50971347,-122.6777159",Schmizza Pub & Grub,Pizzeria,415 SW Montgomery St,285
"45.50971347,-122.6777159",Keller Auditorium,Music Venue,222 SW Clay St,319
"45.50971347,-122.6777159",Concierge Lounge - Portland Marriott,Hotel Bar,1401 SW Naito Pkwy,327
"45.50971347,-122.6777159",Il Terrazzo,Cocktail Bar,0315 SW Montgomery St,314
"45.50971347,-122.6777159",South Waterfront Park,Park,1814-1816 SW River Pkw,393
"45.50971347,-122.6777159",King Tide Fish & Shell,Cocktail Bar,1510 S Harbor Way,325
"45.50971347,-122.6777159",Duck House Chinese Restaurant,Chinese Restaurant,1968 SW 5th Ave,381
"45.50971347,-122.6777159",McCormick & Schmick's,Restaurant,0309 SW Montgomery St,346
"45.50971347,-122.6777159",Blyss Chiropractic,Chiropractor,111 SW Columbia St,424
"45.49913657,-122.6716433",OHSU Center for Health and Healing,Health and Medicine,3303 S Bond Ave,42
"45.49913657,-122.6716433",Elizabeth Caruthers Park,Park,3508 S Moody Ave,188
"45.49913657,-122.6716433",Juniper,Dining and Drinking,SW Washington St,112
"45.49913657,-122.6716433",Cha Cha CHA Taqueria Moody,Mexican Restaurant,3135 S Moody Ave,158
"45.49913657,-122.6716433",Al Hawr,Lebanese Restaurant,3500 S River Pkwy,241
"45.49913657,-122.6716433",Frank Wine and Flower,Wine Bar,3712 S Bond Ave,335
"45.49913657,-122.6716433",South Waterfront Greenway,Landmarks and Outdoors,3715 S River Pkwy,324
"45.49913657,-122.6716433",South Waterfront Farmers Market,Farmers Market,3508 S Moody Ave,223
"45.49913657,-122.6716433",Little Big Burger,Burger Joint,3704 S Bond Ave,318
"45.49913657,-122.6716433",Bambuza Vietnamese Bistro,Sandwich Spot,3682 S Bond Ave,290
"45.53550403,-122.7006608",Dragonfly Coffee House,Coffee Shop,2387 NW Thurman St,9
"45.53550403,-122.7006608",St Honore Bakery,Bakery,2335 NW Thurman St,76
"45.53550403,-122.7006608",Life of Pie,Pizzeria,1765 NW 23rd Ave,126
"45.53550403,-122.7006608",Pine State Biscuits N,Breakfast Spot,1717 NW 23rd Ave,126
"45.53550403,-122.7006608",McMenamins 23rd Avenue Bottle Shop,Liquor Store,2290 NW Thurman St,146
"45.53550403,-122.7006608",McMenamins Tavern & Pool,Bar,1716 NW 23rd Ave,157
"45.53550403,-122.7006608",Restaurant St Jack,French Restaurant,1536 NW 23rd Ave,210
"45.53550403,-122.7006608",Multnomah County Library,Library,2300 NW Thurman St,128
"45.53550403,-122.7006608",Stepping Stone Cafe,Café,2390 NW Quimby St,243
"45.53550403,-122.7006608",Lela's Bistro,Vietnamese Restaurant,1524 NW 23rd Ave,242
"45.53409115,-122.6949424",Please Louise,Bar,1505 NW 21st Ave,60
"45.53409115,-122.6949424",Good Coffee,Café,2175 NW Raleigh St,72
"45.53409115,-122.6949424",New Seasons Market,Grocery Store,2170 NW Raleigh St,87
"45.53409115,-122.6949424",Breakside Brewery,Beer Bar,1570 NW 22nd Ave,119
"45.53409115,-122.6949424",Mama Bird,Wine Bar,2145 NW Raleigh St,47
"45.53409115,-122.6949424",Joe's Cellar,Cocktail Bar,1332 NW 21st Ave,185
"45.53409115,-122.6949424",Lucky Labrador Beer Hall,Brewery,1945 NW Quimby St,244
"45.53409115,-122.6949424",Restaurant St Jack,French Restaurant,1536 NW 23rd Ave,293
"45.53409115,-122.6949424",Casa Del Matador,American Restaurant,1438 NW 23rd Ave,297
"45.53409115,-122.6949424",Lela's Bistro,Vietnamese Restaurant,1524 NW 23rd Ave,289
"45.53083126,-122.6815957",Tea Bar,Coffee Shop,1055 NW Northrup St,83
"45.53083126,-122.6815957",Ovation Coffee & Tea,Coffee Shop,941 NW Overton St,169
"45.53083126,-122.6815957",The Fields Neighborhood Park,Park,1099 NW Overton St,187
"45.53083126,-122.6815957",Sisters Coffee Company,Coffee Shop,1235 NW Marshall St,217
"45.53083126,-122.6815957",Cool Moon Ice Cream,Burger Joint,1105 NW Johnson St,241
"45.53083126,-122.6815957",REI,Sporting Goods Retail,1405 NW Johnson St,387
"45.53083126,-122.6815957",Fuego Burritos,Burrito Restaurant,NW 12TH Ave,417
"45.53083126,-122.6815957",Break Bread,Deli,1106 NW Hoyt St,418
"45.53083126,-122.6815957",Barista,Café,539 NW 13th Ave,481
"45.53083126,-122.6815957",Oblation Papers & Press,Retail,516 NW 12th Ave,459
"45.53080401,-122.6844227",Sisters Coffee Company,Coffee Shop,1235 NW Marshall St,11
"45.53080401,-122.6844227",Tea Bar,Coffee Shop,1055 NW Northrup St,205
"45.53080401,-122.6844227",REI,Sporting Goods Retail,1405 NW Johnson St,246
"45.53080401,-122.6844227",The Fields Neighborhood Park,Park,1099 NW Overton St,266
"45.53080401,-122.6844227",Ovation Coffee & Tea,Coffee Shop,941 NW Overton St,285
"45.53080401,-122.6844227",Cool Moon Ice Cream,Burger Joint,1105 NW Johnson St,284
"45.53080401,-122.6844227",Paymaster Lounge,Dive Bar,1020 NW 17th Ave,304
"45.53080401,-122.6844227",Fuego Burritos,Burrito Restaurant,NW 12TH Ave,392
"45.53080401,-122.6844227",Barista,Café,539 NW 13th Ave,427
"45.53080401,-122.6844227",Break Bread,Deli,1106 NW Hoyt St,437
"45.53142501,-122.6895659",Pro Photo Supply,Camera Store,1112 NW 19th Ave,78
"45.53142501,-122.6895659",Paymaster Lounge,Dive Bar,1020 NW 17th Ave,141
"45.53142501,-122.6895659",Lucky Labrador Beer Hall,Brewery,1945 NW Quimby St,307
"45.53142501,-122.6895659",REI,Sporting Goods Retail,1405 NW Johnson St,431
"45.53142501,-122.6895659",Sisters Coffee Company,Coffee Shop,1235 NW Marshall St,407
"45.53142501,-122.6895659",Bantam Tavern,Cocktail Bar,922 NW 21st Ave,432
"45.53142501,-122.6895659",Joe's Cellar,Cocktail Bar,1332 NW 21st Ave,394
"45.53142501,-122.6895659",Please Louise,Bar,1505 NW 21st Ave,478
"45.53142501,-122.6895659",Serratto,Italian Restaurant,2112 NW Kearney St,480
"45.53142501,-122.6895659",New Seasons Market,Grocery Store,2170 NW Raleigh St,568
"45.55902314,-122.6355462",Cord,Sporting Goods Retail,2916 NE Alberta St,5
"45.55902314,-122.6355462",Dar Salam,Middle Eastern Restaurant,2921 NE Alberta St,24
"45.55902314,-122.6355462",Tonalli's Donuts & Cream,Ice Cream Parlor,2805 NE Alberta St,100
"45.55902314,-122.6355462",Urdaneta,Tapas Restaurant,3033 NE Alberta St,111
"45.55902314,-122.6355462",Binks,Bar,2715 NE Alberta St,156
"45.55902314,-122.6355462",Just Bob,Café,2403 NE Alberta St,414
"45.55902314,-122.6355462",Wilder Bar Cafe,Beer Bar,5501 NE 30th Ave,417
"45.55902314,-122.6355462",Dame,Wine Bar,2930 NE Killingsworth St,405
"45.55902314,-122.6355462",Extracto Coffeehouse,Coffee Shop,2921 NE Killingsworth St,426
"45.55902314,-122.6355462",New Seasons Market,Grocery Store,5320 NE 33rd Ave,484
"45.56453067,-122.6305372",The Honors Bar,Hotel Bar,5736 NE Killingsworth St,32
"45.56453067,-122.6305372",Boiler Room,Bar,5736 NE 33rd Ave,66
"45.56453067,-122.6305372",McMenamins Kennedy School Soaking Pool,Swimming Pool,5736 NE 33rd Ave,42
"45.56453067,-122.6305372",The Detention Bar - McMenamins Kennedy School,Beer Bar,5736 NE 33rd Ave,50
"45.56453067,-122.6305372",Cypress Room Bar,Hotel Bar,5736 NE 33rd Ave,68
"45.56453067,-122.6305372",Courtyard Restaurant,Dining and Drinking,5736 NE 33rd Ave,37
"45.56453067,-122.6305372",New Seasons Market,Grocery Store,5320 NE 33rd Ave,343
"45.56453067,-122.6305372",Kennedy Community Garden,Landmarks and Outdoors,3499 NE Jessup,75
"45.56453067,-122.6305372",Wilder Bar Cafe,Beer Bar,5501 NE 30th Ave,404
"45.56453067,-122.6305372",Dame,Wine Bar,2930 NE Killingsworth St,405
"45.55568352,-122.6506644",Grain & Gristle,Bar,1473 NE Prescott St,44
"45.55568352,-122.6506644",Prescott Corner Market,Grocery Store,1460 NE Prescott St,25
"45.55568352,-122.6506644",Tin Shed Garden Cafe,American Restaurant,1438 NE Alberta St,374
"45.55568352,-122.6506644",Bamboo Sushi,Sushi Restaurant,1409 NE Alberta St,393
"45.55568352,-122.6506644",Case Study Coffee,Coffee Shop,1422 NE Alberta St,379
"45.55568352,-122.6506644",Alberta Cooperative Gr,Organic Grocery,1500 NE Alberta St,384
"45.55568352,-122.6506644",Les Caves: A Winery Bar,Wine Bar,1719 NE Alberta St,491
"45.55568352,-122.6506644",Gumba,Pizzeria,1477 NE Alberta St,491
"45.55568352,-122.6506644",Petite Provence,Bakery,1824 NE Alberta St,499
"45.55568352,-122.6506644",Donnie Vegas,Night Club,1203 NE Alberta St,444
"45.54828551,-122.6508106",Whole Foods,Grocery Store,3535 NE 15th Ave,87
"45.54828551,-122.6508106",Sugar Me,Bakery,1313 NE Fremont St,127
"45.54828551,-122.6508106",Irving Park,Park,"at NE Fremont St, Portland, OR 97212",579
"45.54828551,-122.6508106",Guilder,Coffee Shop,2393 NE Fremont St,737
"45.54828551,-122.6508106",Garden Fever,Garden Center,3433 NE 24th Ave,736
"45.54828551,-122.6508106",Lucca,Pizzeria,3449 NE 24th Ave,734
"45.54828551,-122.6508106",Grain & Gristle,Bar,1473 NE Prescott St,803
"45.54828551,-122.6508106",Cedo's Falafel and Gyros,Falafel Restaurant,3901 NE M L King Blvd,902
"45.54828551,-122.6508106",Popeye's Louisiana Kitchen,Fast Food Restaurant,3120 NE M L King Blvd,863
"45.54828551,-122.6508106",The Pocket Pub,Cocktail Bar,2719 NE 7th Ave,895
"45.56251948,-122.6770306",Saraveza,Wine Bar,1004 N Killingsworth St,12
"45.56251948,-122.6770306",E'Njoni Cafe,Buffet,910 N Killingsworth St,60
"45.56251948,-122.6770306",Taqueria Los Gorditos,Latin American Restaurant,902 N Killingsworth St,65
"45.56251948,-122.6770306",Tulip Shop Tavern,Cocktail Bar,825 N Killingsworth St,112
"45.56251948,-122.6770306",Up North Surf Club,Beer Bar,1229 N Killingsworth St,229
"45.56251948,-122.6770306",Sweedeedee,Café,5202 N Albina Ave,275
"45.56251948,-122.6770306",Mississippi Records,Music Store,5202 N Albina Ave,281
"45.56251948,-122.6770306",Gonzalez Taqueria,Fast Food Restaurant,1540 N Killingsworth St,465
"45.56251948,-122.6770306",Victoria,Cocktail Bar,4835 N Albina Ave,508
"45.56251948,-122.6770306",Peninsula Park and Rose Gardens,Playground,700 N Rosa Parks Way,571
"45.55522233,-122.6818612",Fire on the Mountain,BBQ Joint,4225 N Interstate Ave,120
"45.55522233,-122.6818612",Pinky's Pizza,Pizzeria,3990 N Interstate Ave,351
"45.55522233,-122.6818612",The Alibi Restaurant & Lounge,Karaoke Bar,4024 N Interstate Ave,309
"45.55522233,-122.6818612",Matt's BBQ,BBQ Joint,4233 N Mississippi Ave,492
"45.55522233,-122.6818612",Prost,Beer Garden,4237 N Mississippi Ave,482
"45.55522233,-122.6818612",Paxton Gate,Gift Store,4204 N Mississippi Ave,514
"45.55522233,-122.6818612",Lovely's Fifty Fifty,Pizzeria,4039 N Mississippi Ave,542
"45.55522233,-122.6818612",Interurban,Lounge,4057 N Mississippi Ave,538
"45.55522233,-122.6818612",Albina Press,Coffee Shop,4637 N Albina Ave,553
"45.55522233,-122.6818612",Bridgetown Beerhouse,Beer Bar,915 N Shaver St,573
"45.52649493,-122.6416328",Pairings Portland,Liquor Store,455 NE 24th Ave,10
"45.52649493,-122.6416328",The Pie Spot,Bakery,521 NE 24th Ave,26
"45.52649493,-122.6416328",Han Oak,Korean Restaurant,511 NE 24th Ave,39
"45.52649493,-122.6416328",Providore Fine Foods,Gourmet Store,2340 NE Sandy Blvd,80
"45.52649493,-122.6416328",Culmination Brewing,Bar,2117 NE Oregon St,309
"45.52649493,-122.6416328",Stammtisch,Gastropub,401 NE 28th Ave,342
"45.52649493,-122.6416328",Dove Vivi,Pizzeria,2727 NE Glisan St,329
"45.52649493,-122.6416328",Pambiche,Ice Cream Parlor,2811 NE Glisan St,367
"45.52649493,-122.6416328",Screen Door Eastside,American Restaurant,2337 E Burnside St,391
"45.52649493,-122.6416328",Guero,Mexican Restaurant,113 SE 28th Ave,420
"45.53086696,-122.6658887",Moda Center,Stadium,1 N Center Court St,105
"45.53086696,-122.6658887",Rose Quarter,Concert Hall,1 N Center Court St,249
"45.53086696,-122.6658887",Veterans Memorial Coliseum,Music Venue,300 N Winning Way,282
"45.53086696,-122.6658887",Gluten Free Gem Portland,Bakery,140 NE Broadway St,467
"45.53086696,-122.6658887",J Cafe,Café,533 NE Holladay St,474
"45.53086696,-122.6658887",creo CHOCOLATE,Candy Store,122 NE Broadway St,471
"45.53086696,-122.6658887",Upright Brewing,Bar,240 N Broadway,483
"45.53086696,-122.6658887",Red Robin Gourmet Burgers,Burger Joint,1139 NE Grand Ave,391
"45.53086696,-122.6658887",Vera Katz Eastbank Esplanade,Hiking Trail,"Willamette River, Portland, OR 97232",518
"45.53086696,-122.6658887",Portland Roasting Coffee,Coffee Shop,777 NE M L King Blvd,471
"45.55458563,-122.6755413",Matt's BBQ,BBQ Joint,4233 N Mississippi Ave,21
"45.55458563,-122.6755413",Prost,Beer Garden,4237 N Mississippi Ave,18
"45.55458563,-122.6755413",Paxton Gate,Gift Store,4204 N Mississippi Ave,66
"45.55458563,-122.6755413",Interurban,Lounge,4057 N Mississippi Ave,172
"45.55458563,-122.6755413",Lovely's Fifty Fifty,Pizzeria,4039 N Mississippi Ave,185
"45.55458563,-122.6755413",Albina Press,Coffee Shop,4637 N Albina Ave,252
"45.55458563,-122.6755413",Bridgetown Beerhouse,Beer Bar,915 N Shaver St,269
"45.55458563,-122.6755413",Fresh Pot,Coffee Shop,4001 N Mississippi Ave,263
"45.55458563,-122.6755413",Bar Bar,Bar,3939 N Mississippi Ave,336
"45.55458563,-122.6755413",Quaintrelle,Wine Bar,3936 N Mississippi Ave,368
"45.55941042,-122.6685226",The Florida Room,Cocktail Bar,435 N Killingsworth St,412
"45.55941042,-122.6685226",Victoria,Cocktail Bar,4835 N Albina Ave,530
"45.55941042,-122.6685226",Sweedeedee,Café,5202 N Albina Ave,510
"45.55941042,-122.6685226",Mississippi Records,Music Store,5202 N Albina Ave,504
"45.55941042,-122.6685226",Curious Comedy Theater,Comedy Club,5225 NE M L King Blvd,555
"45.55941042,-122.6685226",North By Northeast Liquor,Liquor Store,4375 N Williams Ave,504
"45.55941042,-122.6685226",Albina Press,Coffee Shop,4637 N Albina Ave,587
"45.55941042,-122.6685226",Vendetta,Cocktail Bar,4306 N Williams Ave,542
"45.55941042,-122.6685226",Tulip Shop Tavern,Cocktail Bar,825 N Killingsworth St,668
"45.55941042,-122.6685226",JinJu Patisserie,Bakery,4063 N Williams Ave,725
"45.52487653,-122.6965141",Elephants Delicatessen,Deli,115 NW 22nd Ave,116
"45.52487653,-122.6965141",Ken's Artisan Bakery,Bakery,338 NW 21st Ave,181
"45.52487653,-122.6965141",Trader Joe's,Grocery Store,2122 NW Glisan St,177
"45.52487653,-122.6965141",RingSide Steakhouse,American Restaurant,2165 W Burnside St,180
"45.52487653,-122.6965141",Takibi,Beer Bar,404 NW 23rd Ave,139
"45.52487653,-122.6965141",Sterling Coffee Roasters,Bakery,417 NW 21st Ave,208
"45.52487653,-122.6965141",Kells Brew Pub,Bar,210 NW 21st Ave,182
"45.52487653,-122.6965141",Zupan's Markets - Burnside Store,Grocery Store,2340 W Burnside St,258
"45.52487653,-122.6965141",Tender Loving Empire,Gift Store,525 NW 23rd Ave,256
"45.52487653,-122.6965141",Pope House Bourbon Lounge,Cocktail Bar,2075 NW Glisan St,257
"45.53508224,-122.6505639",Blossoming Lotus,Vegan and Vegetarian Restaurant,1713 NE 15th Ave,28
"45.53508224,-122.6505639",Eb & Bean,Frozen Yogurt Shop,1425 NE Broadway St,23
"45.53508224,-122.6505639",Petisco,Sandwich Spot,1411 NE Broadway St,42
"45.53508224,-122.6505639",Taste Tickler,Diner,1704 NE 14th Ave,67
"45.53508224,-122.6505639",Milo's City Cafe,Burger Joint,1325 NE Broadway St,97
"45.53508224,-122.6505639",Koji Osakaya Japanese Restaurant,Sushi Restaurant,1502 NE Weidler St,100
"45.53508224,-122.6505639",Helen Bernhard Bakery,Bakery,1717 NE Broadway St,176
"45.53508224,-122.6505639",Jimmy John's,Deli,1139 NE Broadway St,254
"45.53508224,-122.6505639",Saint Simon Coffee Co.,Coffee Shop,2005 NE Broadway St,375
"45.53508224,-122.6505639",Swift Lounge,Dive Bar,1932 NE Broadway St,354
"45.51936283,-122.6359928",Baby Doll Pizza,Pizzeria,2835 SE Stark St,47
